"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1911","M","M","M","M","M","M","M","3.24","4.86","2.62","2.01","3.70","M"
"1912","2.50","3.40","3.70","5.27","3.90","1.28","2.62","4.61","5.56","2.60","M","M","M"
"1913","3.08","1.66","4.83","1.40","3.05","2.05","0.42","M","2.92","3.99","M","M","M"
"1914","M","3.38","5.72","6.56","2.05","M","1.80","4.85","1.30","1.30","M","2.05","M"
"1915","M","3.98","M","0.75","3.25","M","M","M","M","M","M","M","M"
"1916","M","M","M","M","M","M","M","M","6.00","2.50","3.04","M","M"
"1917","M","M","1.84","3.50","M","M","3.76","6.39","M","M","0.65","3.44","M"
"1918","M","1.43","M","M","4.33","2.95","M","6.39","4.95","3.50","2.65","1.50","M"
"1919","1.90","0.70","1.65","3.99","3.33","3.45","5.66","0.65","2.95","2.57","2.40","1.65","30.90"
"1920","1.90","3.92","0.80","2.69","0.50","2.40","4.76","2.51","6.91","1.69","2.26","1.60","31.94"
"1921","1.07","1.60","2.15","3.35","1.85","2.76","3.96","5.42","1.92","2.70","M","1.65","M"
"1922","4.65","M","3.86","3.73","3.55","10.32","2.05","4.60","1.03","2.37","1.80","2.15","M"
"1923","2.02","1.05","0.90","M","2.80","3.65","4.45","1.56","3.20","2.65","2.15","1.75","M"
"1924","M","2.30","M","2.10","3.94","3.65","5.65","2.65","6.55","0.10","M","M","M"
"1925","M","1.50","M","2.81","3.43","4.85","6.65","3.35","3.75","2.38","1.14","M","M"
"1926","3.53","2.05","1.41","3.89","0.74","4.08","4.11","2.83","6.58","5.31","4.57","2.89","41.99"
"1927","M","2.92","2.41","2.52","3.68","2.44","5.31","2.40","0.27","6.63","5.21","3.03","M"
"1928","1.89","2.34","4.32","2.74","1.99","4.85","3.67","4.40","1.51","3.29","3.48","1.65","36.13"
"1929","3.95","4.16","3.12","6.76","4.72","3.18","3.64","3.44","2.61","5.03","3.67","4.96","49.24"
"1930","2.69","1.15","2.59","1.79","4.31","5.08","3.13","2.35","4.51","1.04","1.91","2.04","32.59"
"1931","1.50","2.23","1.44","3.40","5.21","1.45","4.44","4.14","1.87","2.24","3.51","2.48","33.91"
"1932","3.49","3.11","4.03","2.03","1.73","4.74","4.14","4.34","1.96","7.26","6.47","1.19","44.49"
"1933","1.06","1.94","3.20","4.05","2.87","1.18","1.37","8.71","4.70","2.92","1.83","1.86","35.69"
"1934","2.15","0.73","2.35","2.77","1.38","4.93","1.76","3.20","6.27","2.22","2.67","2.92","33.35"
"1935","2.35","1.52","2.04","2.45","2.77","3.10","10.17","1.78","2.41","6.40","2.19","2.25","39.43"
"1936","2.51","1.36","4.01","3.40","3.92","1.10","1.31","4.44","3.56","4.66","2.53","2.54","35.34"
"1937","4.53","1.76","M","3.60","M","6.21","4.17","3.69","2.38","6.34","2.39","1.65","M"
"1938","3.09","2.36","2.49","2.67","3.10","1.83","3.31","4.98","5.33","0.66","1.74","3.59","35.15"
"1939","1.71","3.16","2.38","1.88","1.50","2.59","1.38","3.94","1.25","3.54","1.76","3.77","28.86"
"1940","0.95","3.26","4.41","3.17","4.02","4.91","3.61","3.04","2.83","1.35","2.37","2.86","36.78"
